Date,Open,High,Low,Close,Adj Close,Volume
2014-10-28,18.314049,18.743801,18.099173,18.677685,14.043936,30655531
2014-10-29,18.534435,18.865013,18.082644,18.137741,13.637950,23142702
2014-10-30,18.677685,19.603306,18.677685,19.603306,14.739925,45741630
2014-10-31,19.724518,20.247932,19.636362,20.236914,15.216335,33105418
2014-11-03,20.022038,20.286501,19.702478,20.165289,15.168670,26993406
2014-11-04,20.853994,20.909090,20.148760,20.550964,15.458782,35226972
2014-11-05,20.275482,20.644629,20.220385,20.325068,15.288861,17317278
2014-11-06,20.220385,20.220385,19.493113,19.586777,14.733502,21906868
2014-11-07,19.548208,19.961432,19.349861,19.917355,14.982169,18694137
2014-11-10,20.159779,20.297520,19.779613,19.862259,14.940733,13523746
2014-11-11,19.663912,20.110191,19.559229,19.851238,14.932446,11512182
2014-11-12,19.691460,20.451790,19.592285,20.000000,15.044340,17742895
2014-11-13,20.203856,20.258953,19.338842,19.355371,14.559447,15550738
2014-11-14,19.179064,19.608814,18.876034,19.449036,14.629889,22322685
2014-11-17,19.498623,19.702478,19.151514,19.305784,14.522144,13865692
2014-11-18,19.388430,20.016527,19.134987,19.867767,14.944875,16383460
2014-11-19,19.983471,20.743801,19.867767,20.666666,15.545816,24671113
2014-11-21,20.765841,22.203856,20.749311,22.027548,16.569504,47475862
2014-11-24,22.314049,22.468319,21.476583,21.570248,16.225512,30128455
2014-11-25,21.818180,22.137741,21.438017,21.845730,16.432726,22893865
2014-11-26,22.038567,22.077133,21.542700,21.663912,16.295961,19915087
2014-11-27,21.680441,21.983471,21.157024,21.344353,16.055592,13886928
2014-11-28,21.471073,21.691460,21.223141,21.322313,16.039013,16110121
2014-12-01,20.887053,20.914600,20.016527,20.325068,15.294787,37203870
2014-12-02,20.584023,20.705235,19.829201,20.154268,15.166265,20787853
2014-12-03,20.242424,20.468319,20.060606,20.325068,15.294787,12632069
2014-12-04,20.512396,20.523415,19.807161,20.022038,15.066756,15103604
2014-12-05,20.176308,20.468319,19.911844,20.402203,15.352840,26123129
2014-12-08,20.385674,20.424242,19.393938,19.641872,14.780682,13861648
2014-12-09,19.382919,19.917355,19.344353,19.719007,14.838736,25415938
